Plaintext,Encrypted
E346,EEFF
2917,917A
A6D0,D018
8F02,AB9E
96DF,0016
C0C9,1545
0C3D,B3D2
FA91,878B
0E43,B4F0
DBC8,794D
194C,21F1
2E30,94D8
6692,608E
2B91,998B
D563,7D50
59C9,5145
69D9,6115
5BE1,59BB
C007,159A
48DF,FA16
8572,ADCE
932C,0E01
1C44,23FC
C6C1,104B
AB1C,D971
8CDA,A313
34CE,3F44
9A32,07DE
276B,9659
1F8D,2B32
9464,0F5C
B79D,C682
E29F,E886
394E,31F4
7BDB,4919
E1F2,ECEE
5002,559E
E79E,E684
10F0,25E8
638C,6E31
55F0,5DE8
18AA,2A23
5F19,5B75
E824,EA0C
2FD1,9B1B
0186,BC3F
66D4,601C
D21A,7873
FC68,835D
184C,2AF1
2409,9F95
53A0,5E28
7832,4ADE
73F3,4EE0
D8FD,7AE2
A8C0,DA48
6CB7,63AA
5D1A,5273
12BF,28A6
52A5,5827
AC7E,D3C4
0B28,B90D
5A88,573D
0678,B0CD
09DF,B116
860E,A094
0A34,B7DC
640C,6F91
6B9C,6981
A047,D5FA
92D5,0817
5CD5,5317
8CC3,A340
BB49,C9F5
6E70,64C8
B967,C15A
7826,4A0F
BD0D,C292
8300,AE98
6577,6DCA
26AC,9021
C796,168F
E92D,E102
F864,8A5C
3C92,338E
CBB9,19A5
704E,45F4
ADC3,D240
5DB3,52A0
4D61,F25B
BC51,C36B
DD78,72CD
8A17,A77A
150E,2D94
2C83,9330
0DA3,B220
9A94,078C
56CA,5043
E536,EDDF
6B29,6905
8687,A03A
8885,AA37
BCEC,C3B1
6358,6E6D
D7E2,76BE
428E,F834
4E7D,F4C2
125F,2866
FABD,87A2
666F,6056
3750,3668
AC3D,D3D2
F4A5,8F27
6C69,6355
7A63,4750
578D,5632
B1D2,CC1E
41E7,FCBA
8F0D,AB92
E245,E8F7
DF30,7BD8
7FD1,4B1B
D35A,7E63
C008,159D
2F66,9B5F
7DB5,42A7
62A3,6820
678A,6633
235B,9E69
F712,867E
9160,0C58
A40F,DF96
3BA5,3927
18F8,2AED
2DB0,92A8
EAA2,E72E
3531,3DDB
6040,65F8
923B,08D9
694D,61F2
5412,5F7E
E8D5,EA17
F212,887E
000F,B596
3256,386F
A670,D0C8
0A18,B77D
81D8,AC1D
23C0,9E48
18AA,2A23
F9BF,81A6
5054,556C
0785,B637
5A4B,57F9
E3A8,EE2D
053B,BDD9
9A24,070C
4624,F00C
84B1,AFAB
2ED2,941E
C0D1,151B
DF5C,7B61
1821,2A0B
B814,CA7C
A290,D888
5FE3,5BB0
4CE4,F3BC
CFBE,1BA4
85E1,ADBB
8272,A8CE
96EE,00B4
8737,A6DA
5726,560F
3413,3F70
417A,FCC3
71F0,4CE8
4523,FD00
ADA4,D22C
101B,2579
E0C1,E54B
A79A,D683
F0DB,8519
545E,5F64
ACDD,D312
274B,96F9
1484,2F3C
EDA2,E22E
9C03,0390
24FE,9FE4
6CEB,63B9
BAA2,C72E
002C,B501
CBE6,19BF
F683,8030
217F,9CC6
AB2E,D904
4F80,FB38
A88F,DA36
5024,550C
E921,E10B
C24B,18F9
C7A1,162B
EC6D,E352
B1C1,CC4B
651A,6D73
FB37,89DA
6200,6898
B1DA,CC13
288E,9A34
9569,0D55
0D5B,B269
8B8D,A932
8EEB,A4B9
65A1,6D2B
02D9,B815
569A,5083
5127,5C0A
B07B,C5C9
7C73,43C0
5566,5D5F
A6CF,D046
B847,CAFA
0FC0,BB48
47A4,F62C
AFA8,DB2D
85A5,AD27
6DE5,62B7
764E,40F4
0B2F,B906
219B,9C89
DDCA,7243
F8C2,8A4E
5F78,5BCD
36CF,3046
26C0,9048
8A91,A78B
1DD4,221C
38EF,3AB6
C88A,1A33
42E9,F8B5
561F,5076
4346,FEFF
E95D,E162
2D79,92C5
4057,F56A
F000,8598
048C,BF31
15D9,2D15
7C22,430E
0785,B637
2249,98F5
2E5D,9462
EE26,E40F
7BE6,49BF
46A7,F02A
190F,2196
1615,2077
21BF,9CA6
A40E,DF94
186D,2A52
0C21,B30B
69C9,6145
5DCD,5242
6072,65CE
2E44,94FC
98D0,0A18
522C,5801
737B,4EC9
C7FF,16E6
28CD,9A42
3669,3055
196F,2156
8C8F,A336
7C31,43DB
0DCB,B249
8BB4,A9AC
C8A6,1A2F
7A7B,47C9
CB4C,19F1
3DDA,3213
3767,365A
FB70,89C8
EC79,E3C5
2CD1,931B
B936,C1DF
8B1E,A974
EDED,E2B2
F5C1,8D4B
7CFC,43E1
AF66,DB5F
95D2,0D1E
E3A6,EE2F
4D75,F2C7
1167,2C5A
0B49,B9F5
3CB8,33AD
F7F1,86EB
CF41,1BFB
2BDE,9914
A1AB,DC29
1F91,2B8B
C3CC,1E41
1669,2055
CE11,147B
C33B,1ED9
29A7,912A
55A8,5D2D
A793,D680
AD38,D2DD
7795,4687
C503,1D90
BB39,C9D5
075D,B662
42DC,F811
A44C,DFF1
151A,2D73
67DE,6614
71B1,4CAB
50F9,55E5
DE97,748A
FFBA,8BA3
D872,7ACE
4AFD,F7E2
A9B4,D1AC
70E9,45B5
A31D,DE72
E6BA,E0A3
B89C,CA81
8530,ADD8
ADAF,D226
DB64,795C
14FD,2FE2
14E9,2FB5
D627,700A
47A1,F62B
1071,25CB
89F3,A1E0
01C6,BC4F
5008,559D
7E10,4478
9F31,0BDB
C85D,1A62
616B,6C59
8B74,A9CC
A1A4,DC2C
2808,9A9D
A180,DC38
EA3A,E7D3
9A43,07F0
4191,FC8B
34F2,3FEE
458A,FD33
5E8A,5433
711A,4C73
88C6,AA4F
F1C9,8C45
6358,6E6D
846B,AF59
1F96,2B8F
1CB6,23AF
2CAE,9324
DC88,733D
4B60,F958
B8F4,CAEC
6FB2,6BAE
